parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
48,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,6,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,3,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,6,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,3,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,3,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,6,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,3,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
